Family;Genus;Common;Species
Cheirogaleidae;Cheirogaleus;fat-tailed dwarf lemur;Cheirogaleus medius
Cheirogaleidae;Cheirogaleus;greater dwarf lemur;Cheirogaleus major
Cheirogaleidae;Cheirogaleus;furry-eared dwarf lemur;Cheirogaleus crossleyi
Cheirogaleidae;Cheirogaleus;lesser iron-gray dwarf lemur;Cheirogaleus minusculus
Cheirogaleidae;Cheirogaleus;Sibree's dwarf lemur;Cheirogaleus sibreei
Cheirogaleidae;Microcebus;gray mouse lemur;Microcebus murinus
Cheirogaleidae;Microcebus;reddish-gray mouse lemur;Microcebus griseorufus
Cheirogaleidae;Microcebus;golden-brown mouse lemur;Microcebus ravelobensis
Cheirogaleidae;Microcebus;northern rufous mouse lemur;Microcebus tavaratra
Cheirogaleidae;Microcebus;Sambirano mouse lemur;Microcebus sambiranensis
Cheirogaleidae;Microcebus;Simmons' mouse lemur;Microcebus simmonsi
Cheirogaleidae;Microcebus;pygmy mouse lemur;Microcebus myoxinus
Cheirogaleidae;Microcebus;brown mouse lemur;Microcebus rufus
Cheirogaleidae;Microcebus;Madame Berthe's mouse lemur;Microcebus berthae
Cheirogaleidae;Microcebus;Goodman's mouse lemur;Microcebus lehilahytsara
Cheirogaleidae;Microcebus;Jolly's mouse lemur;Microcebus jollyae
Cheirogaleidae;Microcebus;MacArthur's mouse lemur;Microcebus macarthurii
Cheirogaleidae;Microcebus;Mittermeier's mouse lemur;Microcebus mittermeieri
Cheirogaleidae;Microcebus;Claire's mouse lemur;Microcebus mamiratra
Cheirogaleidae;Microcebus;Bongolava mouse lemur;Microcebus bongolavensis
Cheirogaleidae;Microcebus;Danfoss' mouse lemur;Microcebus danfossi
Cheirogaleidae;Microcebus;Lokobe mouse lemur;Microcebus lokobensis
Cheirogaleidae;Mirza;Coquerel's giant mouse lemur or Coquerel's mouse lemur;Mirza coquereli
Cheirogaleidae;Mirza;northern giant mouse lemur;Mirza zaza
Cheirogaleidae;Allocebus;hairy-eared dwarf lemur;Allocebus trichotis
Cheirogaleidae;Phaner;eastern fork-marked lemur;Phaner furcifer
Cheirogaleidae;Phaner;pale fork-marked lemur;Phaner pallescens
Cheirogaleidae;Phaner;Pariente's fork-marked lemur;Phaner parienti
Cheirogaleidae;Phaner;Amber Mountain fork-marked lemur;Phaner electromontis
Lemuridae;Eulemur;white-headed lemur;Eulemur albifrons
Lemuridae;Eulemur;gray-headed lemur;Eulemur cinereiceps
Lemuridae;Eulemur;collared brown lemur;Eulemur collaris
Lemuridae;Eulemur;crowned lemur;Eulemur coronatus
Lemuridae;Eulemur;Sclater's lemur;Eulemur flavifrons
Lemuridae;Eulemur;common brown lemur;Eulemur fulvus
Lemuridae;Eulemur;black lemur;Eulemur macaco
Lemuridae;Eulemur;mongoose lemur;Eulemur mongoz
Lemuridae;Eulemur;red-bellied lemur;Eulemur rubriventer
Lemuridae;Eulemur;red-fronted lemur;Eulemur rufifrons
Lemuridae;Eulemur;red lemur;Eulemur rufus
Lemuridae;Eulemur;Sanford's brown lemur;Eulemur sanfordi
