Ave/STDEV of permuted data,Unpermuted data:,Number of StDevs between mean of permuted data and the original data
2338.363636,1528,93.40990053
2343.737374,1535,99.23652797
2605.79798,1694,115.4233543
2763.676768,1815,121.7820593
2677.575758,1729,112.3104511
2276.777778,1481,86.75810885
2481.30303,1626,92.56237916
2278.606061,1494,86.67922488
2568.616162,1690,92.92026814
2654.666667,1727,96.23114101
2617.191919,1707,96.16224407
2632.636364,1721,118.2614416
2366.494949,1539,93.56973543
2678.717172,1755,102.132876
2576.363636,1709,99.36864579
2482.262626,1615,112.4070837
2752.717172,1793,112.5049355
2458.606061,1615,96.17167271
2445.20202,1602,94.46412301
2151.272727,1407,95.19481421
2550.252525,1669,118.4621832
2689.363636,1741,110.4343095
2424.575758,1580,102.570944
2603.333333,1699,103.1192392
2523.888889,1645,101.113053
2620.656566,1720,100.0272879
2560.515152,1682,95.98826946
2326.686869,1518,109.9528201
2523.808081,1668,103.3122624
2777.141414,1819,125.330634
2432.373737,1595,104.3496483
2655.959596,1750,101.0101946
2416.606061,1578,90.26167524
2520.363636,1677,103.9628769
2308.959596,1504,93.09404051
2235.767677,1469,97.66917389
2500.717172,1673,103.1389382
2656.959596,1746,112.790657
2341.272727,1520,97.82521973
2701.747475,1758,103.7560043
2699.575758,1773,113.497525
2769,1814,106.5840061
2587,1727,96.98724765
2482.949495,1617,101.8052888
2375.707071,1568,92.74590501
2643.868687,1744,93.20937225
2676.161616,1742,104.3146698
2221.686869,1454,94.63128471
2478.878788,1623,110.2104703
2444.515152,1624,96.78879296
